
 Name                 Type            Min        Max      Global  CL    Cfg
 xvidopts:dr2         Flag            No         No         No    Yes   Yes
 lavfdopts:o          String          No         No         No    Yes   Yes
 lavfdopts:cryptokey  String          No         No         No    Yes   Yes
 lavfdopts:analyzedur Integer         0          2147483647 No    Yes   Yes
 lavfdopts:format     String          No         No         No    Yes   Yes
 lavfdopts:probesize  Integer         32         2147483647 No    Yes   Yes
 lavdopts:o           String          No         No         No    Yes   Yes
 lavdopts:bitexact    Flag            No         No         No    Yes   Yes
 lavdopts:threads     Integer         1          16         No    Yes   Yes
 lavdopts:skipframe   String          No         No         No    Yes   Yes
 lavdopts:skipidct    String          No         No         No    Yes   Yes
 lavdopts:skiploopfil String          No         No         No    Yes   Yes
 lavdopts:lowres      String          No         No         No    Yes   Yes
 lavdopts:fast        Flag            No         No         No    Yes   Yes
 lavdopts:sb          Integer         0          999        No    Yes   Yes
 lavdopts:st          Integer         0          999        No    Yes   Yes
 lavdopts:vismv       Integer         0          9999999    No    Yes   Yes
 lavdopts:debug       Integer         0          9999999    No    Yes   Yes
 lavdopts:vstats      Flag            No         No         No    Yes   Yes
 lavdopts:ec          Integer         0          99         No    Yes   Yes
 lavdopts:idct        Integer         0          99         No    Yes   Yes
 lavdopts:gray        Flag            No         No         No    Yes   Yes
 lavdopts:er          Integer         0          99         No    Yes   Yes
 lavdopts:bug         Integer         -1         999999     No    Yes   Yes
 field-dominance      Integer         -1         1          No    Yes   Yes
 noslices             Flag            No         No         No    Yes   Yes
 slices               Flag            No         No         No    Yes   Yes
 tskeepbroken         Flag            No         No         No    Yes   Yes
 psprobe              Position        No         No         No    Yes   Yes
 tsprobe              Position        No         No         No    Yes   Yes
 tsprog               Integer         0          65534      No    Yes   Yes
 tsfastparse          Print           No         No         No    Yes   No 
 noflip               Flag            No         No         No    Yes   Yes
 flip                 Flag            No         No         No    Yes   Yes
 xy                   Float           0          4096       No    Yes   Yes
 noaspect             Flag            No         No         No    Yes   Yes
 aspect               Float           0          10         No    Yes   Yes
 nozoom               Flag            No         No         No    Yes   Yes
 zoom                 Flag            No         No         No    Yes   Yes
 ssf:cs               Float           No         No         No    Yes   Yes
 ssf:ls               Float           No         No         No    Yes   Yes
 ssf:chs              Integer         No         No         No    Yes   Yes
 ssf:cvs              Integer         No         No         No    Yes   Yes
 ssf:cgb              Float           No         No         No    Yes   Yes
 ssf:lgb              Float           No         No         No    Yes   Yes
 sws                  Integer         No         No         No    Yes   Yes
 pphelp               Print           No         No         No    Yes   No 
 pp                   Integer         No         No         No    Yes   Yes
 vc                   String list     No         No         No    Yes   Yes
 ac                   String list     No         No         No    Yes   Yes
 vfm                  String list     No         No         No    Yes   Yes
 afm                  String list     No         No         No    Yes   Yes
 vf*                  Object settings No         No         No    Yes   Yes
 vop                  Print           No         No         No    Yes   No 
 af-adv:force         Integer         0          7          No    Yes   Yes
 af-adv:list          String list     No         No         No    Yes   Yes
 af*                  String list     No         No         No    Yes   Yes
 nosound              Flag            No         No         No    Yes   Yes
 sound                Flag            No         No         No    Yes   Yes
 stereo               Integer         0          2          No    Yes   Yes
 a52drc               Float           0          2          No    Yes   Yes
 noignore-start       Flag            No         No         No    Yes   Yes
 ignore-start         Flag            No         No         No    Yes   Yes
 delay                Float           -100       100        No    Yes   Yes
 speed                Float           0          100        No    Yes   Yes
 format               Audio format    No         No         No    Yes   Yes
 channels             Integer         1          8          No    Yes   Yes
 srate                Integer         1000       384000     No    Yes   Yes
 fps                  Double          0          No         No    Yes   Yes
 mc                   Float           0          100        No    Yes   Yes
 nobps                Flag            No         No         No    Yes   Yes
 bps                  Flag            No         No         No    Yes   Yes
 dvbin:file           String          No         No         No    Yes   Yes
 dvbin:timeout        Integer         1          240        No    Yes   Yes
 dvbin:card           Integer         1          4          No    Yes   Yes
 dvbin:prog           String          No         No         No    Yes   Yes
 vivo:vformat         Integer         No         No         No    Yes   Yes
 vivo:height          Integer         No         No         No    Yes   Yes
 vivo:width           Integer         No         No         No    Yes   Yes
 vivo:bytesperblock   Integer         No         No         No    Yes   Yes
 vivo:samplerate      Integer         No         No         No    Yes   Yes
 vivo:abitrate        Integer         No         No         No    Yes   Yes
 vivo:acodec          String          No         No         No    Yes   Yes
 vivo:version         Integer         No         No         No    Yes   Yes
 pvr:fmt              String          No         No         No    Yes   Yes
 pvr:vpeak            Integer         No         No         No    Yes   Yes
 pvr:vmode            String          No         No         No    Yes   Yes
 pvr:vbitrate         Integer         No         No         No    Yes   Yes
 pvr:amode            String          No         No         No    Yes   Yes
 pvr:abitrate         Integer         No         No         No    Yes   Yes
 pvr:alayer           Integer         No         No         No    Yes   Yes
 pvr:arate            Integer         No         No         No    Yes   Yes
 pvr:aspect           Integer         No         No         No    Yes   Yes
 tv:audioid           Integer         0          9          No    Yes   Yes
 tv:tlang             Integer         -1         127        No    Yes   Yes
 tv:tformat           Integer         0          3          No    Yes   Yes
 tv:tpage             Integer         100        899        No    Yes   Yes
 tv:tdevice           String          No         No         No    Yes   Yes
 tv:adevice           String          No         No         No    Yes   Yes
 tv:alsa              Flag            No         No         No    Yes   Yes
 tv:quality           Integer         0          100        No    Yes   Yes
 tv:decimation        Integer         1          4          No    Yes   Yes
 tv:mjpeg             Flag            No         No         No    Yes   Yes
 tv:buffersize        Integer         16         1024       No    Yes   Yes
 tv:forceaudio        Flag            No         No         No    Yes   Yes
 tv:forcechan         Integer         1          2          No    Yes   Yes
 tv:balance           Integer         0          65535      No    Yes   Yes
 tv:treble            Integer         0          65535      No    Yes   Yes
 tv:bass              Integer         0          65535      No    Yes   Yes
 tv:volume            Integer         0          65535      No    Yes   Yes
 tv:amode             Integer         0          3          No    Yes   Yes
 tv:buffersize        Integer         16         1024       No    Yes   Yes
 tv:gain              Integer         -1         100        No    Yes   Yes
 tv:saturation        Integer         -100       100        No    Yes   Yes
 tv:hue               Integer         -100       100        No    Yes   Yes
 tv:contrast          Integer         -100       100        No    Yes   Yes
 tv:brightness        Integer         -100       100        No    Yes   Yes
 tv:channels          String list     No         No         No    Yes   Yes
 tv:fps               Float           No         No         No    Yes   Yes
 tv:outfmt            Image format    No         No         No    Yes   Yes
 tv:input             Integer         No         No         No    Yes   Yes
 tv:height            Integer         No         No         No    Yes   Yes
 tv:width             Integer         No         No         No    Yes   Yes
 tv:normid            Integer         No         No         No    Yes   Yes
 tv:automute          Integer         0          255        No    Yes   Yes
 tv:norm              String          No         No         No    Yes   Yes
 tv:chanlist          String          No         No         No    Yes   Yes
 tv:channel           String          No         No         No    Yes   Yes
 tv:freq              String          No         No         No    Yes   Yes
 tv:device            String          No         No         No    Yes   Yes
 tv:driver            String          No         No         No    Yes   Yes
 tv:audiorate         Integer         No         No         No    Yes   Yes
 tv:noaudio           Flag            No         No         No    Yes   Yes
 tv:immediatemode     Integer         0          1          No    Yes   Yes
 tv:on                Print           No         No         No    Yes   Yes
 radio:achannels      Integer         0          No         No    Yes   Yes
 radio:arate          Integer         0          No         No    Yes   Yes
 radio:adevice        String          No         No         No    Yes   Yes
 radio:volume         Integer         0          100        No    Yes   Yes
 radio:channels       String list     No         No         No    Yes   Yes
 radio:driver         String          No         No         No    Yes   Yes
 radio:device         String          No         No         No    Yes   Yes
 mf:type              String          No         No         No    Yes   Yes
 mf:fps               Double          No         No         No    Yes   Yes
 mf:h                 Integer         No         No         No    Yes   Yes
 mf:w                 Integer         No         No         No    Yes   Yes
 mf:on                Print           No         No         No    Yes   Yes
 noextbased           Flag            No         No         No    Yes   Yes
 extbased             Flag            No         No         No    Yes   Yes
 sub-demuxer          String          No         No         No    Yes   Yes
 audio-demuxer        String          No         No         No    Yes   Yes
 demuxer              String          No         No         No    Yes   Yes
 subfile              String          No         No         No    Yes   Yes
 audiofile-cache      Integer         50         65536      No    Yes   Yes
 audiofile            String          No         No         No    Yes   Yes
 cdda:span            Object params   No         No         No    Yes   Yes
 cdda:device          String          No         No         No    Yes   Yes
 cdda:skip            Flag            No         No         No    Yes   Yes
 cdda:noskip          Flag            No         No         No    Yes   Yes
 cdda:toc-offset      Integer         No         No         No    Yes   Yes
 cdda:toc-bias        Integer         No         No         No    Yes   Yes
 cdda:overlap         Integer         0          75         No    Yes   Yes
 cdda:sector-size     Integer         1          100        No    Yes   Yes
 cdda:generic-dev     String          No         No         No    Yes   Yes
 cdda:paranoia        Integer         0          2          No    Yes   Yes
 cdda:speed           Integer         1          100        No    Yes   Yes
 rawvideo:size        Integer         1          268435456  No    Yes   Yes
 rawvideo:fps         Float           0          1000       No    Yes   Yes
 rawvideo:y8          Flag            No         No         No    Yes   Yes
 rawvideo:uyvy        Flag            No         No         No    Yes   Yes
 rawvideo:yuy2        Flag            No         No         No    Yes   Yes
 rawvideo:hm12        Flag            No         No         No    Yes   Yes
 rawvideo:nv12        Flag            No         No         No    Yes   Yes
 rawvideo:yv12        Flag            No         No         No    Yes   Yes
 rawvideo:i420        Flag            No         No         No    Yes   Yes
 rawvideo:format      Image format    No         No         No    Yes   Yes
 rawvideo:sif         Flag            No         No         No    Yes   Yes
 rawvideo:16cif       Flag            No         No         No    Yes   Yes
 rawvideo:ntsc        Flag            No         No         No    Yes   Yes
 rawvideo:pal         Flag            No         No         No    Yes   Yes
 rawvideo:4cif        Flag            No         No         No    Yes   Yes
 rawvideo:cif         Flag            No         No         No    Yes   Yes
 rawvideo:qcif        Flag            No         No         No    Yes   Yes
 rawvideo:sqcif       Flag            No         No         No    Yes   Yes
 rawvideo:h           Integer         1          8192       No    Yes   Yes
 rawvideo:w           Integer         1          8192       No    Yes   Yes
 rawaudio:format      Integer         0          No         No    Yes   Yes
 rawaudio:bitrate     Integer         0          No         No    Yes   Yes
 rawaudio:samplesize  Integer         1          8          No    Yes   Yes
 rawaudio:rate        Integer         1000       384000     No    Yes   Yes
 rawaudio:channels    Integer         1          8          No    Yes   Yes
 nohr-mp3-seek        Flag            No         No         No    Yes   Yes
 hr-mp3-seek          Flag            No         No         No    Yes   Yes
 novideo              Flag            No         No         No    Yes   Yes
 nosub                Flag            No         No         No    Yes   Yes
 sid                  Integer         -2         8190       No    Yes   Yes
 vid                  Integer         -2         8190       No    Yes   Yes
 ausid                Integer         No         No         No    Yes   Yes
 aid                  Integer         -2         8190       No    Yes   Yes
 loadidx              String          No         No         No    Yes   Yes
 saveidx              String          No         No         No    Yes   Yes
 forceidx             Flag            No         No         No    Yes   Yes
 idx                  Flag            No         No         No    Yes   Yes
 noidx                Flag            No         No         No    Yes   Yes
 noni                 Flag            No         No         No    Yes   Yes
 ni                   Flag            No         No         No    Yes   Yes
 edl                  String          No         No         No    Yes   Yes
 endpos               Time or size    No         No         No    Yes   Yes
 ss                   Time            No         No         No    Yes   Yes
 sb                   Position        0          No         No    Yes   Yes
 frames               Integer         0          No         No    Yes   Yes
 rtsp-destination     String          0          No         No    Yes   Yes
 rtsp-port            Integer         -1         65535      No    Yes   Yes
 rtsp-stream-over-sct Print           No         No         No    Yes   No 
 rtsp-stream-over-tcp Print           No         No         No    Yes   No 
 rtsp-stream-over-htt Print           No         No         No    Yes   No 
 prefer-ipv6          Flag            No         No         No    Yes   Yes
 noreuse-socket       Flag            No         No         Yes   Yes   Yes
 reuse-socket         Flag            No         No         Yes   Yes   Yes
 ipv4-only-proxy      Flag            No         No         No    Yes   Yes
 prefer-ipv4          Flag            No         No         No    Yes   Yes
 cookies-file         String          No         No         No    Yes   Yes
 nocookies            Flag            No         No         No    Yes   Yes
 cookies              Flag            No         No         No    Yes   Yes
 referrer             String          No         No         No    Yes   Yes
 user-agent           String          No         No         No    Yes   Yes
 http-header-fields   String list     No         No         No    Yes   Yes
 bandwidth            Integer         0          No         No    Yes   Yes
 passwd               String          No         No         No    Yes   Yes
 user                 String          No         No         No    Yes   Yes
 csslib               Print           No         No         No    Yes   No 
 dvdkey               Print           No         No         No    Yes   No 
 dvdauth              Print           No         No         No    Yes   No 
 slang                String          No         No         No    Yes   Yes
 alang                String          No         No         No    Yes   Yes
 bluray-chapter       Integer         0          999        No    Yes   Yes
 bluray-angle         Integer         0          999        No    Yes   Yes
 bluray-device        String          No         No         No    Yes   Yes
 chapter              Func param      No         No         No    Yes   Yes
 dvdangle             Integer         1          99         No    Yes   Yes
 dvd                  Print           No         No         No    Yes   Yes
 dvd-speed            Integer         No         No         No    Yes   Yes
 dvd-device           String          No         No         No    Yes   Yes
 cdrom-device         String          No         No         No    Yes   Yes
 cuefile              Print           No         No         No    Yes   Yes
 vcd                  Print           No         No         No    Yes   No 
 cache-seek-min       Float           0          99         No    Yes   Yes
 cache-min            Float           0          99         No    Yes   Yes
 nocache              Flag            No         No         No    Yes   Yes
 cache                Integer         32         2147483647 No    Yes   Yes
 noconfig:user        Flag            No         No         Yes   Yes   No 
 noconfig:system      Flag            No         No         Yes   Yes   No 
 noconfig:all         Func            No         No         Yes   Yes   No 
 codecpath            String          No         No         No    Yes   Yes
 include              Func param once No         No         No    Yes   Yes
 msgcharset           String          No         No         Yes   Yes   Yes
 nomsgmodule          Flag            No         No         Yes   Yes   Yes
 msgmodule            Flag            No         No         Yes   Yes   Yes
 nomsgcolor           Flag            No         No         Yes   Yes   Yes
 msgcolor             Flag            No         No         Yes   Yes   Yes
 msglevel:help        Print           No         No         No    Yes   No 
 msglevel:fixme       Integer         -1         9          No    Yes   Yes
 msglevel:statusline  Integer         -1         9          No    Yes   Yes
 msglevel:ass         Integer         -1         9          No    Yes   Yes
 msglevel:identify    Integer         -1         9          No    Yes   Yes
 msglevel:osd-menu    Integer         -1         9          No    Yes   Yes
 msglevel:muxer       Integer         -1         9          No    Yes   Yes
 msglevel:netst       Integer         -1         9          No    Yes   Yes
 msglevel:afilter     Integer         -1         9          No    Yes   Yes
 msglevel:subreader   Integer         -1         9          No    Yes   Yes
 msglevel:vobsub      Integer         -1         9          No    Yes   Yes
 msglevel:sws         Integer         -1         9          No    Yes   Yes
 msglevel:codeccfg    Integer         -1         9          No    Yes   Yes
 msglevel:cpudetect   Integer         -1         9          No    Yes   Yes
 msglevel:network     Integer         -1         9          No    Yes   Yes
 msglevel:osd         Integer         -1         9          No    Yes   Yes
 msglevel:vfilter     Integer         -1         9          No    Yes   Yes
 msglevel:input       Integer         -1         9          No    Yes   Yes
 msglevel:playtree    Integer         -1         9          No    Yes   Yes
 msglevel:spudec      Integer         -1         9          No    Yes   Yes
 msglevel:osdep       Integer         -1         9          No    Yes   Yes
 msglevel:radio       Integer         -1         9          No    Yes   Yes
 msglevel:tv          Integer         -1         9          No    Yes   Yes
 msglevel:xacodec     Integer         -1         9          No    Yes   Yes
 msglevel:mencoder    Integer         -1         9          No    Yes   Yes
 msglevel:cache       Integer         -1         9          No    Yes   Yes
 msglevel:stream      Integer         -1         9          No    Yes   Yes
 msglevel:lirc        Integer         -1         9          No    Yes   Yes
 msglevel:parsees     Integer         -1         9          No    Yes   Yes
 msglevel:dvd         Integer         -1         9          No    Yes   Yes
 msglevel:open        Integer         -1         9          No    Yes   Yes
 msglevel:win32       Integer         -1         9          No    Yes   Yes
 msglevel:seek        Integer         -1         9          No    Yes   Yes
 msglevel:decvideo    Integer         -1         9          No    Yes   Yes
 msglevel:decaudio    Integer         -1         9          No    Yes   Yes
 msglevel:cfgparser   Integer         -1         9          No    Yes   Yes
 msglevel:autoq       Integer         -1         9          No    Yes   Yes
 msglevel:avsync      Integer         -1         9          No    Yes   Yes
 msglevel:header      Integer         -1         9          No    Yes   Yes
 msglevel:demux       Integer         -1         9          No    Yes   Yes
 msglevel:ds          Integer         -1         9          No    Yes   Yes
 msglevel:demuxer     Integer         -1         9          No    Yes   Yes
 msglevel:ao          Integer         -1         9          No    Yes   Yes
 msglevel:vo          Integer         -1         9          No    Yes   Yes
 msglevel:gplayer     Integer         -1         9          No    Yes   Yes
 msglevel:cplayer     Integer         -1         9          No    Yes   Yes
 msglevel:global      Integer         -1         9          No    Yes   Yes
 msglevel:all         Integer         -1         9          No    Yes   Yes
 v                    Func            No         No         Yes   Yes   Yes
 really-quiet         Flag            No         No         Yes   Yes   Yes
 noquiet              Flag            No         No         Yes   Yes   Yes
 quiet                Flag            No         No         Yes   Yes   Yes
 progbar-align        Integer         No         No         Yes   Yes   Yes
 vd:help              Print           No         No         Yes   Yes   No 
 h                    Print           No         No         Yes   Yes   No 
 help                 Print           No         No         Yes   Yes   No 
 -help                Print           No         No         Yes   Yes   No 
 identify             Flag            No         No         Yes   Yes   Yes
 list-properties      Flag            No         No         Yes   Yes   Yes
 tvscan:period        Float           0          2          No    Yes   Yes
 tvscan:threshold     Integer         1          100        No    Yes   Yes
 tvscan:autostart     Flag            No         No         No    Yes   Yes
 doubleclick-time     Integer         0          1000       No    Yes   Yes
 nomouse-movements    Flag            No         No         Yes   Yes   Yes
 mouse-movements      Flag            No         No         Yes   Yes   Yes
 consolecontrols      Flag            No         No         Yes   Yes   Yes
 noconsolecontrols    Flag            No         No         Yes   Yes   Yes
 key-fifo-size        Integer         2          65000      No    Yes   Yes
 use-stdin            Print           No         No         No    Yes   Yes
 noidle               Flag            No         No         Yes   Yes   Yes
 idle                 Flag            No         No         Yes   Yes   Yes
 slave                Flag            No         No         Yes   Yes   Yes
 playing-msg          String          No         No         No    Yes   Yes
 term-osd-esc         String          No         No         No    Yes   Yes
 noterm-osd           Flag            No         No         No    Yes   Yes
 term-osd             Flag            No         No         No    Yes   Yes
 rtc-device           String          No         No         No    Yes   Yes
 rtc                  Flag            No         No         No    Yes   Yes
 nortc                Flag            No         No         No    Yes   Yes
 softsleep            Flag            No         No         No    Yes   Yes
 autosync             Integer         0          10000      No    Yes   Yes
 noautosync           Flag            No         No         No    Yes   Yes
 nocorrect-pts        Flag            No         No         No    Yes   Yes
 correct-pts          Flag            No         No         No    Yes   Yes
 noshuffle            Flag            No         No         No    Yes   No 
 shuffle              Flag            No         No         No    Yes   No 
 playlist             String          No         No         No    Yes   No 
 loop                 Integer         -1         10000      No    Yes   Yes
 noloop               Flag            No         No         No    Yes   Yes
 nogui                Print           No         No         No    Yes   Yes
 gui                  Print           No         No         No    Yes   Yes
 lircconf             String          No         No         Yes   Yes   Yes
 capture              Flag            No         No         No    Yes   Yes
 dumpsami             Flag            No         No         No    Yes   Yes
 dumpjacosub          Flag            No         No         No    Yes   Yes
 dumpmicrodvdsub      Flag            No         No         No    Yes   Yes
 dumpsrtsub           Flag            No         No         No    Yes   Yes
 dumpstream           Flag            No         No         No    Yes   Yes
 dumpmpsub            Flag            No         No         No    Yes   Yes
 dumpsub              Flag            No         No         No    Yes   Yes
 dumpvideo            Flag            No         No         No    Yes   Yes
 dumpaudio            Flag            No         No         No    Yes   Yes
 dumpfile             String          No         No         No    Yes   Yes
 udp-seek-threshold   Float           0          100        No    Yes   Yes
 udp-port             Integer         No         No         No    Yes   Yes
 udp-ip               String          No         No         No    Yes   Yes
 udp-master           Flag            No         No         No    Yes   Yes
 udp-slave            Flag            No         No         No    Yes   Yes
 benchmark            Flag            No         No         No    Yes   Yes
 autoq                Integer         0          100        No    Yes   Yes
 noframedrop          Flag            No         No         No    Yes   Yes
 hardframedrop        Flag            No         No         No    Yes   Yes
 framedrop            Flag            No         No         No    Yes   Yes
 sstep                Integer         0          No         No    Yes   Yes
 menu-noflip-hebrew-c Flag            No         No         No    Yes   Yes
 menu-flip-hebrew-com Flag            No         No         No    Yes   Yes
 menu-noflip-hebrew   Flag            No         No         No    Yes   Yes
 menu-flip-hebrew     Flag            No         No         No    Yes   Yes
 menu-fribidi-charset String          No         No         No    Yes   Yes
 menu-chroot          String          No         No         No    Yes   Yes
 menu-keepdir         Flag            No         No         Yes   Yes   Yes
 menu-startup         Flag            No         No         Yes   Yes   Yes
 menu-cfg             String          No         No         Yes   Yes   Yes
 menu-root            String          No         No         Yes   Yes   Yes
 nomenu               Flag            No         No         Yes   Yes   Yes
 menu                 Flag            No         No         Yes   Yes   Yes
 osd-fractions        Integer         0          2          No    Yes   Yes
 osd-duration         Integer         0          No         No    Yes   Yes
 osdlevel             Integer         0          3          No    Yes   Yes
 nouse-filename-title Flag            No         No         Yes   Yes   Yes
 use-filename-title   Flag            No         No         Yes   Yes   Yes
 nouse-filedir-conf   Flag            No         No         Yes   Yes   Yes
 use-filedir-conf     Flag            No         No         Yes   Yes   Yes
 aa*                  Print           No         No         No    Yes   Yes
 vaa_nodr             Print           No         No         No    Yes   Yes
 vaa_dr               Print           No         No         No    Yes   Yes
 nodr                 Flag            No         No         No    Yes   Yes
 dr                   Flag            No         No         No    Yes   Yes
 nokeepaspect         Flag            No         No         No    Yes   Yes
 keepaspect           Flag            No         No         No    Yes   Yes
 gamma                Integer         -100       100        No    Yes   Yes
 hue                  Integer         -100       100        No    Yes   Yes
 contrast             Integer         -100       100        No    Yes   Yes
 saturation           Integer         -100       100        No    Yes   Yes
 brightness           Integer         -100       100        No    Yes   Yes
 xineramascreen       Integer         -2         32         No    Yes   Yes
 nomouseinput         Flag            No         No         No    Yes   Yes
 mouseinput           Flag            No         No         No    Yes   Yes
 heartbeat-cmd        String          No         No         No    Yes   Yes
 fstype               String list     No         No         No    Yes   Yes
 stop_xscreensaver    Print           No         No         No    Yes   Yes
 nostop-xscreensaver  Flag            No         No         No    Yes   Yes
 stop-xscreensaver    Flag            No         No         No    Yes   Yes
 icelayer             Print           No         No         No    Yes   Yes
 wid                  Integer64       No         No         No    Yes   Yes
 refreshrate          Integer         0          100        No    Yes   Yes
 adapter              Integer         0          5          No    Yes   Yes
 nograbpointer        Flag            No         No         No    Yes   Yes
 grabpointer          Flag            No         No         No    Yes   Yes
 panscanrange         Float           -19        99         No    Yes   Yes
 panscan              Float           -1         1          No    Yes   Yes
 novsync              Flag            No         No         No    Yes   Yes
 vsync                Flag            No         No         No    Yes   Yes
 nodouble             Flag            No         No         No    Yes   Yes
 double               Flag            No         No         No    Yes   Yes
 nocolorkey           Flag            No         No         No    Yes   Yes
 colorkey             Integer         No         No         No    Yes   Yes
 bpp                  Integer         0          32         No    Yes   Yes
 fsmode-dontuse       Integer         0          31         No    Yes   Yes
 fsmode               Print           0          31         No    Yes   Yes
 nofs                 Flag            No         No         No    Yes   Yes
 fs                   Flag            No         No         No    Yes   Yes
 novm                 Flag            No         No         No    Yes   Yes
 vm                   Flag            No         No         No    Yes   Yes
 monitorpixelaspect   Float           0          9          No    Yes   Yes
 monitoraspect        Float           0          9          No    Yes   Yes
 title                String          No         No         No    Yes   Yes
 name                 String          No         No         No    Yes   Yes
 geometry             String          No         No         No    Yes   Yes
 screenh              Integer         0          4096       No    Yes   Yes
 screenw              Integer         0          4096       No    Yes   Yes
 y                    Integer         0          4096       No    Yes   Yes
 x                    Integer         0          4096       No    Yes   Yes
 fbmodeconfig         String          No         No         No    Yes   Yes
 fbmode               String          No         No         No    Yes   Yes
 monitor-dotclock     String          No         No         No    Yes   Yes
 monitor-vfreq        String          No         No         No    Yes   Yes
 monitor-hfreq        String          No         No         No    Yes   Yes
 sdla                 Print           No         No         No    Yes   Yes
 forcexv              Print           No         No         No    Yes   Yes
 noxv                 Print           No         No         No    Yes   Yes
 sdl                  Print           No         No         No    Yes   Yes
 jpeg                 Print           No         No         No    Yes   Yes
 z                    Print           No         No         No    Yes   Yes
 display              String          No         No         No    Yes   Yes
 noedl-start-pts      Flag            No         No         No    Yes   Yes
 edl-start-pts        Flag            No         No         No    Yes   Yes
